Provider,PotentialFraud,Inpatient_ClaimCount,Inpatient_UniquePatients,Inpatient_TotalReimbursed,Inpatient_AvgReimbursed,Inpatient_StdReimbursed,Inpatient_MaxReimbursed,Inpatient_TotalDeductible,Inpatient_AvgDeductible,Inpatient_ClaimDurationRange,Inpatient_AdmissionCount,Inpatient_DeceasedClaims,Inpatient_AvgAge,Outpatient_ClaimCount,Outpatient_UniquePatients,Outpatient_TotalReimbursed,Outpatient_AvgReimbursed,Outpatient_StdReimbursed,Outpatient_MaxReimbursed,Outpatient_TotalDeductible,Outpatient_AvgDeductible,Outpatient_ClaimDurationRange,Outpatient_DeceasedClaims,Outpatient_AvgAge,Inpatient_ChronicCond_Alzheimer,Inpatient_ChronicCond_Heartfailure,Inpatient_ChronicCond_KidneyDisease,Inpatient_ChronicCond_Cancer,Inpatient_ChronicCond_ObstrPulmonary,Inpatient_ChronicCond_Depression,Inpatient_ChronicCond_Diabetes,Inpatient_ChronicCond_IschemicHeart,Inpatient_ChronicCond_Osteoporasis,Inpatient_ChronicCond_rheumatoidarthritis,Inpatient_ChronicCond_stroke,Outpatient_ChronicCond_Alzheimer,Outpatient_ChronicCond_Heartfailure,Outpatient_ChronicCond_KidneyDisease,Outpatient_ChronicCond_Cancer,Outpatient_ChronicCond_ObstrPulmonary,Outpatient_ChronicCond_Depression,Outpatient_ChronicCond_Diabetes,Outpatient_ChronicCond_IschemicHeart,Outpatient_ChronicCond_Osteoporasis,Outpatient_ChronicCond_rheumatoidarthritis,Outpatient_ChronicCond_stroke,Total_ClaimCount,Total_UniquePatients,Total_Reimbursed,Total_DeceasedClaims,AvgReimbursed_PerPatient,AvgClaims_PerPatient,DeceasedClaim_Rate,Inpatient_Ratio
PRV51024,0,9.0,9.0,61000.0,6777.777777777777,3767.5515184857713,13000.0,9612.0,1068.0,355.0,9.0,0.0,69.22222222222223,30.0,29.0,3050.0,101.66666666666667,116.68062313894262,400.0,90.0,3.0,359.0,0.0,67.66666666666667,4.0,5.0,6.0,0.0,5.0,6.0,7.0,8.0,3.0,4.0,3.0,11.0,16.0,17.0,5.0,9.0,10.0,23.0,21.0,8.0,10.0,3.0,39.0,29.0,64050.0,0.0,2208.6206896551726,1.3448275862068966,0.0,0.23076923076923078
PRV51025,0,13.0,12.0,86000.0,6615.384615384615,5252.593986759645,17000.0,13884.0,1068.0,351.0,13.0,0.0,69.6923076923077,74.0,66.0,32350.0,437.1621621621622,810.343272890291,3300.0,400.0,5.405405405405405,376.0,0.0,74.1891891891892,5.0,8.0,8.0,2.0,7.0,8.0,9.0,10.0,4.0,1.0,0.0,23.0,39.0,32.0,11.0,21.0,33.0,55.0,52.0,27.0,25.0,6.0,87.0,66.0,118350.0,0.0,1793.1818181818182,1.3181818181818181,0.0,0.14942528735632185
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,19840.0,261.05263157894734,668.7831316600191,3300.0,340.0,4.473684210526316,356.0,1.0,69.5657894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,33.0,30.0,11.0,15.0,39.0,56.0,50.0,17.0,23.0,6.0,76.0,56.0,19840.0,1.0,354.2857142857143,1.3571428571428572,0.013157894736842105,0.0
PRV51027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,29840.0,563.0188679245283,1044.0446219937528,3300.0,0.0,0.0,355.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,36.0,27.0,9.0,16.0,30.0,41.0,43.0,10.0,13.0,8.0,53.0,44.0,29840.0,1.0,678.1818181818181,1.2045454545454546,0.018867924528301886,0.0
PRV51029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,30660.0,329.6774193548387,618.3119580109661,3300.0,160.0,1.7204301075268817,354.0,1.0,70.91397849462365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,45.0,33.0,9.0,29.0,30.0,62.0,66.0,17.0,28.0,13.0,93.0,79.0,30660.0,1.0,388.1012658227848,1.1772151898734178,0.010752688172043012,0.0
PRV51030,0,82.0,71.0,705600.0,8604.878048780487,8114.731344891162,57000.0,86508.0,1068.0,360.0,82.0,1.0,72.29268292682927,89.0,78.0,34160.0,383.82022471910113,719.4308129252685,3300.0,240.0,2.696629213483146,346.0,1.0,71.4494382022472,44.0,60.0,44.0,17.0,37.0,37.0,63.0,70.0,24.0,32.0,7.0,29.0,51.0,37.0,13.0,28.0,39.0,62.0,68.0,24.0,27.0,6.0,171.0,78.0,739760.0,2.0,9484.102564102564,2.1923076923076925,0.011695906432748537,0.47953216374269003
PRV51031,0,28.0,26.0,329000.0,11750.0,13164.556792978468,68000.0,29904.0,1068.0,345.0,28.0,0.0,72.46428571428571,157.0,135.0,30720.0,195.6687898089172,365.13129687220373,2300.0,340.0,2.1656050955414012,354.0,1.0,72.6687898089172,15.0,19.0,18.0,5.0,14.0,13.0,19.0,21.0,15.0,6.0,3.0,75.0,109.0,71.0,14.0,57.0,68.0,111.0,130.0,70.0,48.0,16.0,185.0,135.0,359720.0,1.0,2664.5925925925926,1.3703703703703705,0.005405405405405406,0.15135135135135136
PRV51032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,5420.0,235.65217391304347,596.2063865273236,2900.0,50.0,2.1739130434782608,336.0,1.0,69.43478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,10.0,5.0,8.0,11.0,16.0,16.0,4.0,5.0,3.0,23.0,21.0,5420.0,1.0,258.0952380952381,1.0952380952380953,0.043478260869565216,0.0
PRV51035,0,1.0,1.0,29000.0,29000.0,0.0,29000.0,1068.0,1068.0,0.0,1.0,0.0,87.0,29.0,24.0,3560.0,122.75862068965517,162.9832715281834,700.0,360.0,12.413793103448276,374.0,0.0,73.3103448275862,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,18.0,4.0,10.0,17.0,21.0,23.0,9.0,6.0,7.0,30.0,24.0,32560.0,0.0,1356.6666666666667,1.25,0.0,0.03333333333333333
PRV51036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,74880.0,269.3525179856115,579.1512632739048,4400.0,1410.0,5.071942446043166,364.0,0.0,72.65827338129496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,159.0,109.0,31.0,95.0,132.0,201.0,201.0,95.0,82.0,19.0,278.0,131.0,74880.0,0.0,571.6030534351145,2.122137404580153,0.0,0.0
PRV51037,1,23.0,21.0,214000.0,9304.347826086956,5849.901184936185,23000.0,24564.0,1068.0,342.0,23.0,0.0,71.04347826086956,431.0,202.0,128230.0,297.51740139211137,579.1863651940712,3300.0,960.0,2.2273781902552203,368.0,10.0,71.94431554524363,13.0,19.0,14.0,5.0,13.0,9.0,21.0,22.0,6.0,15.0,1.0,182.0,252.0,167.0,99.0,142.0,196.0,290.0,341.0,162.0,117.0,28.0,454.0,202.0,342230.0,10.0,1694.2079207920792,2.2475247524752477,0.022026431718061675,0.05066079295154185
PRV51038,0,30.0,26.0,229600.0,7653.333333333333,4210.637869060674,17000.0,30972.0,1068.0,368.0,30.0,1.0,71.16666666666667,111.0,83.0,35890.0,323.3333333333333,631.6620692244942,3300.0,220.0,1.981981981981982,356.0,0.0,71.66666666666667,13.0,18.0,16.0,5.0,15.0,9.0,22.0,25.0,12.0,12.0,2.0,57.0,70.0,49.0,22.0,28.0,54.0,87.0,87.0,34.0,34.0,12.0,141.0,83.0,265490.0,1.0,3198.6746987951806,1.6987951807228916,0.0070921985815602835,0.2127659574468085
PRV51040,0,9.0,8.0,63000.0,7000.0,7681.145747868608,21000.0,8544.0,1068.0,335.0,9.0,0.0,75.66666666666667,77.0,62.0,11470.0,148.96103896103895,250.15039905279934,1600.0,240.0,3.116883116883117,359.0,1.0,70.64935064935065,5.0,6.0,7.0,2.0,5.0,1.0,8.0,8.0,3.0,4.0,3.0,30.0,48.0,26.0,5.0,20.0,40.0,55.0,58.0,18.0,16.0,8.0,86.0,62.0,74470.0,1.0,1201.1290322580646,1.3870967741935485,0.011627906976744186,0.10465116279069768
PRV51041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,7410.0,217.94117647058823,562.4232171797465,3200.0,270.0,7.9411764705882355,353.0,0.0,70.41176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,7.0,10.0,10.0,15.0,22.0,24.0,7.0,9.0,2.0,34.0,31.0,7410.0,0.0,239.03225806451613,1.096774193548387,0.0,0.0
PRV51042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128.0,48050.0,338.38028169014086,625.7915694564421,3300.0,310.0,2.183098591549296,351.0,0.0,72.59859154929578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,74.0,58.0,20.0,41.0,56.0,87.0,108.0,33.0,38.0,13.0,142.0,128.0,48050.0,0.0,375.390625,1.109375,0.0,0.0
PRV51043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,4480.0,194.7826086956522,297.6402582315741,1100.0,0.0,0.0,290.0,0.0,74.17391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,7.0,3.0,8.0,9.0,18.0,15.0,9.0,5.0,0.0,23.0,20.0,4480.0,0.0,224.0,1.15,0.0,0.0
PRV51044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,21330.0,361.52542372881356,633.149798583193,3300.0,130.0,2.2033898305084745,320.0,0.0,69.15254237288136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,30.0,7.0,19.0,22.0,35.0,50.0,22.0,21.0,4.0,59.0,39.0,21330.0,0.0,546.9230769230769,1.5128205128205128,0.0,0.0
PRV51045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,8390.0,270.64516129032256,602.7212483609703,3300.0,40.0,1.2903225806451613,321.0,0.0,71.3225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,15.0,3.0,15.0,13.0,23.0,23.0,6.0,6.0,2.0,31.0,29.0,8390.0,0.0,289.3103448275862,1.0689655172413792,0.0,0.0
PRV51046,0,8.0,7.0,101000.0,12625.0,11160.357137142675,38000.0,8544.0,1068.0,236.0,8.0,0.0,75.125,30.0,19.0,8370.0,279.0,468.2273983351723,2000.0,100.0,3.3333333333333335,337.0,0.0,71.26666666666667,4.0,8.0,5.0,2.0,2.0,5.0,7.0,7.0,2.0,4.0,1.0,10.0,13.0,7.0,11.0,13.0,13.0,24.0,28.0,13.0,13.0,2.0,38.0,19.0,109370.0,0.0,5756.315789473684,2.0,0.0,0.21052631578947367
PRV51047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2530.0,230.0,371.80640123591206,1300.0,0.0,0.0,308.0,0.0,70.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,4.0,4.0,7.0,7.0,3.0,4.0,1.0,11.0,11.0,2530.0,0.0,230.0,1.0,0.0,0.0
PRV51048,0,4.0,4.0,19000.0,4750.0,1707.825127659933,7000.0,4272.0,1068.0,224.0,4.0,0.0,67.0,34.0,30.0,8700.0,255.88235294117646,569.822501055765,3300.0,80.0,2.3529411764705883,362.0,0.0,70.67647058823529,1.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,21.0,18.0,10.0,3.0,12.0,18.0,28.0,28.0,7.0,17.0,1.0,38.0,30.0,27700.0,0.0,923.3333333333334,1.2666666666666666,0.0,0.10526315789473684
PRV51049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,21720.0,305.9154929577465,644.0465321804644,3300.0,190.0,2.676056338028169,366.0,0.0,70.64788732394366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,45.0,30.0,13.0,34.0,33.0,49.0,44.0,22.0,21.0,7.0,71.0,65.0,21720.0,0.0,334.15384615384613,1.0923076923076922,0.0,0.0
PRV51052,1,2.0,2.0,14000.0,7000.0,2828.42712474619,9000.0,2136.0,1068.0,304.0,2.0,0.0,73.5,44.0,36.0,16800.0,381.8181818181818,710.726037976014,3300.0,210.0,4.7727272727272725,356.0,0.0,71.47727272727273,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,14.0,27.0,18.0,5.0,12.0,18.0,25.0,30.0,14.0,11.0,5.0,46.0,36.0,30800.0,0.0,855.5555555555555,1.2777777777777777,0.0,0.043478260869565216
PRV51053,0,1.0,1.0,8000.0,8000.0,0.0,8000.0,1068.0,1068.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8000.0,0.0,8000.0,1.0,0.0,1.0
PRV51054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,15130.0,265.43859649122805,417.09056131834507,1900.0,140.0,2.456140350877193,351.0,0.0,70.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,25.0,2.0,20.0,24.0,29.0,29.0,6.0,7.0,6.0,57.0,40.0,15130.0,0.0,378.25,1.425,0.0,0.0
PRV51055,0,2.0,2.0,16700.0,8350.0,10818.733752154178,16000.0,2136.0,1068.0,48.0,2.0,0.0,54.5,20.0,20.0,4940.0,247.0,549.3546453028221,2300.0,70.0,3.5,348.0,0.0,70.15,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,10.0,13.0,8.0,4.0,8.0,12.0,10.0,15.0,5.0,7.0,3.0,22.0,20.0,21640.0,0.0,1082.0,1.1,0.0,0.09090909090909091
PRV51056,0,2.0,2.0,8000.0,4000.0,1414.213562373095,5000.0,2136.0,1068.0,91.0,2.0,0.0,83.5,20.0,19.0,6700.0,335.0,666.0369833259222,2500.0,10.0,0.5,265.0,0.0,76.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,9.0,12.0,13.0,5.0,6.0,11.0,19.0,16.0,11.0,6.0,3.0,22.0,19.0,14700.0,0.0,773.6842105263158,1.1578947368421053,0.0,0.09090909090909091
PRV51057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6830.0,1366.0,1273.8838251583227,3300.0,0.0,0.0,256.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,5.0,4.0,6830.0,0.0,1707.5,1.25,0.0,0.0
PRV51058,0,5.0,5.0,91000.0,18200.0,22129.166274399042,57000.0,5340.0,1068.0,267.0,5.0,0.0,73.8,78.0,71.0,16030.0,205.51282051282053,375.3739172552853,2500.0,200.0,2.5641025641025643,358.0,0.0,73.41025641025641,3.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,28.0,40.0,30.0,7.0,22.0,37.0,58.0,62.0,29.0,23.0,8.0,83.0,71.0,107030.0,0.0,1507.4647887323943,1.1690140845070423,0.0,0.060240963855421686
PRV51059,1,25.0,23.0,401000.0,16040.0,16539.04471243729,57000.0,26700.0,1068.0,349.0,25.0,0.0,78.48,71.0,60.0,20060.0,282.53521126760563,538.3751169952022,3300.0,240.0,3.380281690140845,364.0,0.0,72.5774647887324,11.0,22.0,16.0,6.0,13.0,17.0,21.0,22.0,9.0,11.0,6.0,20.0,40.0,22.0,9.0,16.0,20.0,41.0,44.0,19.0,15.0,4.0,96.0,60.0,421060.0,0.0,7017.666666666667,1.6,0.0,0.2604166666666667
PRV51060,0,5.0,5.0,35000.0,7000.0,4301.162633521313,14000.0,5340.0,1068.0,209.0,5.0,0.0,75.6,37.0,37.0,8710.0,235.40540540540542,274.0802254267351,1020.0,0.0,0.0,345.0,0.0,70.91891891891892,3.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,1.0,0.0,13.0,21.0,14.0,4.0,12.0,18.0,28.0,25.0,6.0,12.0,4.0,42.0,37.0,43710.0,0.0,1181.3513513513512,1.135135135135135,0.0,0.11904761904761904
PRV51061,0,1.0,1.0,3000.0,3000.0,0.0,3000.0,1068.0,1068.0,0.0,1.0,0.0,84.0,144.0,66.0,51940.0,360.69444444444446,820.8921062105845,6700.0,260.0,1.8055555555555556,363.0,0.0,76.88194444444444,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,36.0,61.0,57.0,21.0,39.0,67.0,104.0,103.0,48.0,36.0,12.0,145.0,66.0,54940.0,0.0,832.4242424242424,2.196969696969697,0.0,0.006896551724137931
PRV51062,0,3.0,3.0,45000.0,15000.0,10535.653752852739,25000.0,3204.0,1068.0,278.0,3.0,0.0,74.0,394.0,164.0,108380.0,275.0761421319797,560.6681031795838,3300.0,740.0,1.8781725888324874,374.0,0.0,72.76903553299492,0.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,175.0,239.0,188.0,67.0,119.0,203.0,292.0,280.0,153.0,101.0,51.0,397.0,164.0,153380.0,0.0,935.2439024390244,2.4207317073170733,0.0,0.007556675062972292
